Result for strategy abbas8
============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|   OCEAN/USDT |        30 |           1.46 |          43.85 |            43.820 |           4.34 |         2:02:00 |    25     4     1  83.3 |
|    AGLD/USDT |        70 |           0.62 |          43.27 |            43.309 |           4.29 |         2:14:00 |    55     4    11  78.6 |
|     TKO/USDT |        44 |           0.97 |          42.52 |            42.555 |           4.21 |         2:48:00 |    32     7     5  72.7 |
|     SNX/USDT |        43 |           0.98 |          42.14 |            42.159 |           4.17 |         2:58:00 |    31     9     3  72.1 |
|     LSK/USDT |        23 |           1.78 |          40.90 |            40.903 |           4.05 |         1:19:00 |    20     2     1  87.0 |
|    VTHO/USDT |        35 |           1.16 |          40.64 |            40.683 |           4.03 |         4:31:00 |    24     9     2  68.6 |
|    ROSE/USDT |        25 |           1.62 |          40.52 |            40.558 |           4.02 |         1:50:00 |    19     6     0   100 |
|     ATM/USDT |        48 |           0.84 |          40.46 |            40.506 |           4.01 |         4:23:00 |    32    11     5  66.7 |
|    NULS/USDT |        65 |           0.62 |          40.49 |            40.446 |           4.00 |         2:44:00 |    46    10     9  70.8 |
|     PNT/USDT |        41 |           0.96 |          39.32 |            39.292 |           3.89 |         2:16:00 |    31     6     4  75.6 |
|     BAR/USDT |        47 |           0.81 |          37.98 |            38.008 |           3.76 |         2:37:00 |    35     7     5  74.5 |
|    STPT/USDT |        43 |           0.87 |          37.54 |            37.580 |           3.72 |         4:28:00 |    33     6     4  76.7 |
|   POLYX/USDT |        23 |           1.60 |          36.91 |            36.939 |           3.66 |         2:17:00 |    19     3     1  82.6 |
|     ORN/USDT |        42 |           0.87 |          36.56 |            36.596 |           3.62 |         2:29:00 |    31     8     3  73.8 |
|    GLMR/USDT |        58 |           0.62 |          36.00 |            35.910 |           3.56 |         2:11:00 |    43     9     6  74.1 |
|     WRX/USDT |        37 |           0.96 |          35.47 |            35.498 |           3.51 |         3:19:00 |    29     4     4  78.4 |
|    CTXC/USDT |        84 |           0.42 |          35.42 |            35.461 |           3.51 |         3:05:00 |    59    12    13  70.2 |
|     LTO/USDT |        58 |           0.59 |          34.31 |            34.313 |           3.40 |         2:29:00 |    45     5     8  77.6 |
|    PERL/USDT |        48 |           0.69 |          33.07 |            33.100 |           3.28 |         2:56:00 |    34     9     5  70.8 |
|     BSW/USDT |        32 |           1.03 |          33.07 |            33.072 |           3.27 |         2:00:00 |    23     6     3  71.9 |
|     CLV/USDT |        43 |           0.75 |          32.26 |            32.301 |           3.20 |         2:14:00 |    33     4     6  76.7 |
|   SUPER/USDT |        41 |           0.79 |          32.33 |            32.225 |           3.19 |         3:11:00 |    31     6     4  75.6 |
|     SYS/USDT |        39 |           0.82 |          31.82 |            31.724 |           3.14 |         2:12:00 |    31     4     4  79.5 |
|    RARE/USDT |        85 |           0.37 |          31.60 |            31.615 |           3.13 |         1:57:00 |    63     9    13  74.1 |
|     REI/USDT |        64 |           0.48 |          30.98 |            31.006 |           3.07 |         1:05:00 |    51     2    11  79.7 |
|    SCRT/USDT |        26 |           1.18 |          30.65 |            30.629 |           3.03 |         1:27:00 |    22     1     3  84.6 |
|    HARD/USDT |        36 |           0.85 |          30.60 |            30.607 |           3.03 |         1:21:00 |    28     3     5  77.8 |
|    AKRO/USDT |        57 |           0.53 |          30.14 |            30.168 |           2.99 |         1:01:00 |    46     1    10  80.7 |
|   FRONT/USDT |        50 |           0.60 |          29.80 |            29.810 |           2.95 |         4:48:00 |    36     7     7  72.0 |
|    FARM/USDT |        63 |           0.44 |          27.51 |            27.512 |           2.72 |         5:06:00 |    44     9    10  69.8 |
|     FTM/USDT |        29 |           0.94 |          27.22 |            27.314 |           2.70 |         2:31:00 |    21     6     2  72.4 |
|    FLUX/USDT |        69 |           0.39 |          27.06 |            27.084 |           2.68 |         2:23:00 |    52     6    11  75.4 |
|     DAR/USDT |        88 |           0.30 |          26.76 |            26.560 |           2.63 |         1:44:00 |    65     9    14  73.9 |
|     XNO/USDT |        24 |           1.10 |          26.31 |            26.335 |           2.61 |         0:41:00 |    21     0     3  87.5 |
|     BEL/USDT |        44 |           0.59 |          25.97 |            25.985 |           2.57 |         1:13:00 |    34     3     7  77.3 |
|     XVG/USDT |        18 |           1.41 |          25.34 |            25.369 |           2.51 |         6:28:00 |    14     3     1  77.8 |
|     BLZ/USDT |        45 |           0.55 |          24.84 |            24.860 |           2.46 |         2:30:00 |    34     4     7  75.6 |
