Result for strategy abbas8
============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|    NEXO/USDT |         8 |          -0.30 |          -2.41 |            -2.412 |          -0.24 |         2:35:00 |     5     1     2  62.5 |
|    AAVE/USDT |        15 |          -0.19 |          -2.92 |            -2.922 |          -0.29 |         3:42:00 |     7     6     2  46.7 |
|     SKL/USDT |        19 |          -0.15 |          -2.94 |            -2.953 |          -0.29 |         2:26:00 |    12     3     4  63.2 |
|     FUN/USDT |         7 |          -0.45 |          -3.13 |            -3.132 |          -0.31 |         1:05:00 |     5     0     2  71.4 |
|    BTTC/USDT |         6 |          -0.53 |          -3.19 |            -3.196 |          -0.32 |         3:55:00 |     2     3     1  33.3 |
|     KNC/USDT |        33 |          -0.10 |          -3.19 |            -3.209 |          -0.32 |         3:13:00 |    18    10     5  54.5 |
|    ANKR/USDT |        21 |          -0.15 |          -3.22 |            -3.225 |          -0.32 |         3:01:00 |    14     3     4  66.7 |
|     BNB/USDT |         3 |          -1.17 |          -3.50 |            -3.490 |          -0.35 |         0:27:00 |     2     0     1  66.7 |
|  PEOPLE/USDT |        92 |          -0.04 |          -3.62 |            -3.627 |          -0.36 |         2:22:00 |    60    15    17  65.2 |
|     ICX/USDT |        12 |          -0.31 |          -3.71 |            -3.717 |          -0.37 |         1:48:00 |     9     0     3  75.0 |
|   QUICK/USDT |        34 |          -0.12 |          -4.20 |            -3.770 |          -0.37 |         2:43:00 |    24     2     8  70.6 |
|    DENT/USDT |        17 |          -0.25 |          -4.21 |            -4.212 |          -0.42 |         4:37:00 |    10     3     4  58.8 |
|     LRC/USDT |        33 |          -0.13 |          -4.41 |            -4.381 |          -0.43 |         2:53:00 |    21     6     6  63.6 |
|     OMG/USDT |         4 |          -1.15 |          -4.60 |            -4.611 |          -0.46 |         3:24:00 |     2     1     1  50.0 |
|     AMP/USDT |        17 |          -0.29 |          -4.99 |            -4.995 |          -0.49 |         3:04:00 |    12     1     4  70.6 |
|     TLM/USDT |        15 |          -0.34 |          -5.05 |            -5.050 |          -0.50 |         4:12:00 |     9     3     3  60.0 |
|     KSM/USDT |         2 |          -2.82 |          -5.64 |            -5.646 |          -0.56 |         1:39:00 |     1     0     1  50.0 |
|    CAKE/USDT |         3 |          -1.93 |          -5.80 |            -5.808 |          -0.58 |         4:34:00 |     1     1     1  33.3 |
|     APT/USDT |        10 |          -0.60 |          -5.96 |            -5.957 |          -0.59 |         3:27:00 |     4     4     2  40.0 |
|    DEXE/USDT |        36 |          -0.17 |          -6.00 |            -6.002 |          -0.59 |         5:08:00 |    24     5     7  66.7 |
|    BAKE/USDT |        23 |          -0.27 |          -6.11 |            -6.117 |          -0.61 |         5:59:00 |    16     2     5  69.6 |
|     GMX/USDT |         9 |          -0.71 |          -6.40 |            -6.409 |          -0.63 |         2:44:00 |     4     3     2  44.4 |
|    IOTX/USDT |        15 |          -0.44 |          -6.58 |            -6.580 |          -0.65 |         2:16:00 |     9     3     3  60.0 |
|    CTSI/USDT |        20 |          -0.33 |          -6.62 |            -6.626 |          -0.66 |         3:13:00 |    11     5     4  55.0 |
|    LUNC/USDT |        24 |          -0.28 |          -6.80 |            -6.808 |          -0.67 |         2:39:00 |    18     1     5  75.0 |
|     DGB/USDT |        13 |          -0.54 |          -7.05 |            -7.059 |          -0.70 |         4:12:00 |     8     2     3  61.5 |
|   SUSHI/USDT |        17 |          -0.42 |          -7.18 |            -7.190 |          -0.71 |         3:31:00 |     9     5     3  52.9 |
|    QTUM/USDT |        11 |          -0.67 |          -7.35 |            -7.350 |          -0.73 |        11:49:00 |     5     4     2  45.5 |
|     XLM/USDT |         1 |          -7.62 |          -7.62 |            -7.630 |          -0.76 | 1 day, 11:42:00 |     0     0     1     0 |
|     BTS/USDT |        30 |          -0.25 |          -7.63 |            -7.635 |          -0.76 |         5:14:00 |    19     5     6  63.3 |
|    DOGE/USDT |        24 |          -0.32 |          -7.65 |            -7.651 |          -0.76 |         3:00:00 |    15     5     4  62.5 |
|   TFUEL/USDT |        34 |          -0.23 |          -7.72 |            -7.730 |          -0.77 |         4:31:00 |    19     9     6  55.9 |
|     EOS/USDT |         8 |          -1.00 |          -7.98 |            -7.984 |          -0.79 |         8:27:00 |     4     2     2  50.0 |
|    CELO/USDT |        14 |          -0.58 |          -8.12 |            -8.097 |          -0.80 |         3:23:00 |    11     0     3  78.6 |
|  ALPACA/USDT |        46 |          -0.18 |          -8.39 |            -8.400 |          -0.83 |         5:04:00 |    27    10     9  58.7 |
|   ALICE/USDT |         9 |          -0.94 |          -8.48 |            -8.484 |          -0.84 |         5:43:00 |     4     3     2  44.4 |
|     REN/USDT |        34 |          -0.25 |          -8.51 |            -8.502 |          -0.84 |         2:43:00 |    20     8     6  58.8 |
|     BCH/USDT |         2 |          -4.30 |          -8.60 |            -8.602 |          -0.85 |         2:02:00 |     0     1     1     0 |
|     GTC/USDT |        48 |          -0.18 |          -8.80 |            -8.801 |          -0.87 |         2:42:00 |    28    11     9  58.3 |
|     UNI/USDT |        10 |          -0.89 |          -8.88 |            -8.882 |          -0.88 |         5:10:00 |     5     3     2  50.0 |
|    CELR/USDT |        17 |          -0.54 |          -9.14 |            -9.145 |          -0.91 |         3:09:00 |    12     1     4  70.6 |
|     ERN/USDT |        63 |          -0.15 |          -9.63 |            -9.539 |          -0.94 |         2:34:00 |    40    10    13  63.5 |
|   JASMY/USDT |        80 |          -0.12 |          -9.53 |            -9.544 |          -0.94 |         2:12:00 |    55     9    16  68.8 |
|     ONE/USDT |        12 |          -0.80 |          -9.66 |            -9.669 |          -0.96 |         4:38:00 |     8     1     3  66.7 |
|     HOT/USDT |        21 |          -0.48 |         -10.02 |           -10.028 |          -0.99 |         4:08:00 |    10     7     4  47.6 |
|   CHESS/USDT |        62 |          -0.17 |         -10.36 |           -10.370 |          -1.03 |         2:30:00 |    43     6    13  69.4 |
|     PLA/USDT |        26 |          -0.40 |         -10.50 |           -10.508 |          -1.04 |         3:42:00 |    13     8     5  50.0 |
|     CHR/USDT |        19 |          -0.58 |         -11.11 |           -11.091 |          -1.10 |         2:30:00 |    11     3     5  57.9 |
|    STMX/USDT |        12 |          -0.93 |         -11.16 |           -11.176 |          -1.11 |         4:04:00 |     6     3     3  50.0 |
|     GAL/USDT |        60 |          -0.21 |         -12.36 |           -12.373 |          -1.23 |         2:05:00 |    43     4    13  71.7 |
|     XRP/USDT |        13 |          -1.01 |         -13.12 |           -13.107 |          -1.30 |         7:22:00 |     7     3     3  53.8 |
|    SAND/USDT |        16 |          -0.83 |         -13.22 |           -13.119 |          -1.30 |         5:11:00 |     6     7     3  37.5 |
|    DATA/USDT |        26 |          -0.51 |         -13.17 |           -13.179 |          -1.30 |         2:47:00 |    18     1     7  69.2 |
|    LUNA/USDT |       115 |          -0.12 |         -13.47 |           -13.518 |          -1.34 |         1:53:00 |    82    10    23  71.3 |
|   1INCH/USDT |         6 |          -2.27 |         -13.63 |           -13.629 |          -1.35 |         8:18:00 |     1     3     2  16.7 |
|     C98/USDT |        28 |          -0.54 |         -15.03 |           -15.037 |          -1.49 |         4:11:00 |    15     7     6  53.6 |
|     BAL/USDT |        11 |          -1.40 |         -15.38 |           -15.391 |          -1.52 |         8:44:00 |     5     3     3  45.5 |
|     WAN/USDT |        30 |          -0.54 |         -16.20 |           -16.156 |          -1.60 |         3:42:00 |    19     3     8  63.3 |
|       T/USDT |        26 |          -0.62 |         -16.15 |           -16.168 |          -1.60 |         3:43:00 |    16     2     8  61.5 |
|     RAY/USDT |        30 |          -0.54 |         -16.21 |           -16.222 |          -1.61 |         1:08:00 |    21     2     7  70.0 |
|     ELF/USDT |        42 |          -0.39 |         -16.50 |           -16.516 |          -1.64 |         2:59:00 |    24     7    11  57.1 |
|     RIF/USDT |        30 |          -0.56 |         -16.92 |           -16.941 |          -1.68 |         0:56:00 |    22     0     8  73.3 |
|     ZIL/USDT |        35 |          -0.49 |         -17.12 |           -17.134 |          -1.70 |         4:01:00 |    23     4     8  65.7 |
|     CTK/USDT |         8 |          -2.21 |         -17.66 |           -17.671 |          -1.75 |         5:06:00 |     3     2     3  37.5 |
|    POLS/USDT |        28 |          -0.64 |         -17.93 |           -17.948 |          -1.78 |         3:38:00 |    16     5     7  57.1 |
|    KAVA/USDT |        18 |          -1.00 |         -18.07 |           -18.045 |          -1.79 |         4:27:00 |     9     4     5  50.0 |
|     SOL/USDT |        19 |          -0.99 |         -18.76 |           -18.749 |          -1.86 |         2:10:00 |    10     4     5  52.6 |
|    EGLD/USDT |         7 |          -2.77 |         -19.39 |           -19.237 |          -1.90 |         4:03:00 |     2     2     3  28.6 |
|     ENJ/USDT |         7 |          -2.84 |         -19.86 |           -19.870 |          -1.97 |         4:24:00 |     3     1     3  42.9 |
|    TOMO/USDT |        14 |          -1.45 |         -20.23 |           -20.249 |          -2.00 |         3:49:00 |     6     4     4  42.9 |
|     FXS/USDT |        39 |          -0.52 |         -20.29 |           -20.399 |          -2.02 |         2:54:00 |    22     9     8  56.4 |
|   THETA/USDT |        11 |          -1.98 |         -21.82 |           -21.805 |          -2.16 |         4:10:00 |     4     3     4  36.4 |
|     ONT/USDT |         9 |          -2.44 |         -21.95 |           -21.950 |          -2.17 |        17:50:00 |     4     1     4  44.4 |
|    WAXP/USDT |         8 |          -2.79 |         -22.35 |           -22.338 |          -2.21 |         8:33:00 |     1     4     3  12.5 |
|   WAVES/USDT |        60 |          -0.38 |         -22.81 |           -22.787 |          -2.26 |         2:27:00 |    37    10    13  61.7 |
|     CVC/USDT |        12 |          -1.95 |         -23.37 |           -23.392 |          -2.32 |        10:38:00 |     5     3     4  41.7 |
|     GNO/USDT |         8 |          -2.96 |         -23.68 |           -23.679 |          -2.34 |         3:58:00 |     4     0     4  50.0 |
|     ANT/USDT |        37 |          -0.65 |         -24.16 |           -24.213 |          -2.40 |         4:47:00 |    24     4     9  64.9 |
|     MOB/USDT |        43 |          -0.56 |         -24.21 |           -24.231 |          -2.40 |         1:44:00 |    28     3    12  65.1 |
|  PUNDIX/USDT |        44 |          -0.56 |         -24.42 |           -24.436 |          -2.42 |         3:35:00 |    28     5    11  63.6 |
|     JST/USDT |        19 |          -1.36 |         -25.92 |           -25.947 |          -2.57 |         4:50:00 |    10     3     6  52.6 |
|     ONG/USDT |        24 |          -1.16 |         -27.72 |           -27.715 |          -2.74 |         7:04:00 |    11     7     6  45.8 |
|     LPT/USDT |        13 |          -2.58 |         -33.48 |           -33.460 |          -3.31 |        11:38:00 |     6     1     6  46.2 |
|     KMD/USDT |        59 |          -0.58 |         -34.14 |           -34.124 |          -3.38 |         3:32:00 |    41     2    16  69.5 |
|   STRAX/USDT |        48 |          -0.86 |         -41.08 |           -41.118 |          -4.07 |         5:40:00 |    31     3    14  64.6 |
|     AXS/USDT |        26 |          -1.61 |         -41.85 |           -41.799 |          -4.14 |         4:53:00 |    12     6     8  46.2 |
|     XEM/USDT |        12 |          -3.57 |         -42.79 |           -42.826 |          -4.24 |         6:10:00 |     4     1     7  33.3 |
|    POWR/USDT |        37 |          -1.26 |         -46.51 |           -46.472 |          -4.60 |         4:41:00 |    18     8    11  48.6 |
|     ATA/USDT |        35 |          -1.54 |         -53.83 |           -53.818 |          -5.33 |         3:49:00 |    21     2    12  60.0 |
|    WNXM/USDT |        43 |          -1.31 |         -56.15 |           -56.156 |          -5.56 |         1:37:00 |    26     3    14  60.5 |
|        TOTAL |     11833 |           0.43 |        5087.56 |          5084.341 |         503.40 |         2:29:00 |  8541  1529  1763  72.2 |
========================================================= LEFT OPEN TRADES REPORT ==========================================================
|      Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|-----------+-----------+----------------+----------------+-------------------+----------------+-----------------+-------------------------|
| DENT/USDT |         1 |          -4.12 |          -4.12 |            -4.129 |          -0.41 |  1 day, 3:55:00 |     0     0     1     0 |
|  KMD/USDT |         1 |          -6.85 |          -6.85 |            -6.848 |          -0.68 | 3 days, 1:00:00 |     0     0     1     0 |
|     TOTAL |         2 |          -5.49 |         -10.97 |           -10.977 |          -1.09 | 2 days, 2:28:00 |     0     0     2     0 |
=========================================================== ENTER TAG STATS ============================================================
|    TAG |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|--------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|   ewo1 |      9972 |           0.40 |        4026.05 |          4023.058 |         398.32 |        2:41:00 |  7069  1405  1498  70.9 |
| ewolow |      1861 |           0.57 |        1061.51 |          1061.283 |         105.08 |        1:26:00 |  1472   124   265  79.1 |
|  TOTAL |     11833 |           0.43 |        5087.56 |          5084.341 |         503.40 |        2:29:00 |  8541  1529  1763  72.2 |
======================================================= EXIT REASON STATS ========================================================
|        Exit Reason |   Exits |   Win  Draws  Loss  Win% |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|--------------------+---------+--------------------------+----------------+----------------+-------------------+----------------|
| trailing_stop_loss |    8372 |  8368     0     4  100.0 |           2.27 |       19026.4  |         19005.9   |        1902.64 |
|          stop_loss |    1758 |      1     0  1757   0.1 |          -7.97 |      -14012.6  |        -13995.3   |       -1401.26 |
|                roi |    1701 |    172  1529     0   100 |           0.05 |          84.72 |            84.685 |           8.47 |
|         force_exit |       2 |      0     0     2     0 |          -5.49 |         -10.97 |           -10.977 |          -1.1  |
======================= MONTH BREAKDOWN ========================
|      Month |   Tot Profit USDT |   Wins |   Draws |   Losses |
|------------+-------------------+--------+---------+----------|
| 31/01/2022 |           274.692 |    561 |     116 |      118 |
| 28/02/2022 |           341.609 |    620 |     142 |      126 |
| 31/03/2022 |           616.073 |    882 |     188 |      168 |
| 30/04/2022 |           337.563 |    541 |     106 |      107 |
| 31/05/2022 |          1119.71  |   1379 |     194 |      258 |
| 30/06/2022 |           423.593 |    998 |     158 |      235 |
| 31/07/2022 |           778.947 |   1064 |     173 |      206 |
| 31/08/2022 |           172.637 |    502 |      91 |      116 |
| 30/09/2022 |           133.655 |    388 |      81 |       89 |
| 31/10/2022 |           348.536 |    391 |      88 |       67 |
| 30/11/2022 |           469.26  |    899 |     133 |      192 |
| 31/12/2022 |            79.046 |    316 |      59 |       79 |
| 31/01/2023 |           -10.977 |      0 |       0 |        2 |
================== SUMMARY METRICS ==================
| Metric                      | Value               |
|-----------------------------+---------------------|
| Backtesting from            | 2022-01-01 00:00:00 |
| Backtesting to              | 2023-01-01 00:00:00 |
| Max open trades             | 10                  |
|                             |                     |
| Total/Daily Avg Trades      | 11833 / 32.42       |
| Starting balance            | 1010 USDT           |
| Final balance               | 6094.341 USDT       |
| Absolute profit             | 5084.341 USDT       |
| Total profit %              | 503.40%             |
| CAGR %                      | 503.40%             |
| Sortino                     | 248.12              |
| Sharpe                      | 72.31               |
| Calmar                      | 245.29              |
| Profit factor               | 1.36                |
| Expectancy (Ratio)          | 0.43 (-0.08)        |
| Trades per day              | 32.42               |
| Avg. daily profit %         | 1.38%               |
| Avg. stake amount           | 99.799 USDT         |
| Total trade volume          | 1180923.314 USDT    |
|                             |                     |
| Best Pair                   | LAZIO/USDT 146.14%  |
| Worst Pair                  | WNXM/USDT -56.15%   |
| Best trade                  | CVP/USDT 16.77%     |
| Worst trade                 | LUNA/USDT -37.31%   |
| Best day                    | 190.527 USDT        |
| Worst day                   | -230.053 USDT       |
| Days win/draw/lose          | 246 / 0 / 120       |
| Avg. Duration Winners       | 0:41:00             |
| Avg. Duration Loser         | 6:30:00             |
| Max Consecutive Wins / Loss | 49 / 11             |
| Rejected Entry signals      | 18006               |
| Entry/Exit Timeouts         | 0 / 0               |
|                             |                     |
| Min balance                 | 1002.311 USDT       |
| Max balance                 | 6139.058 USDT       |
| Max % of account underwater | 13.54%              |
| Absolute Drawdown (Account) | 10.74%              |
| Absolute Drawdown           | 292.699 USDT        |
| Drawdown high               | 1714.799 USDT       |
| Drawdown low                | 1422.1 USDT         |
| Drawdown Start              | 2022-05-11 00:05:00 |
| Drawdown End                | 2022-05-12 04:25:00 |
| Market change               | -75.62%             |
=====================================================

Backtested 2022-01-01 00:00:00 -> 2023-01-01 00:00:00 | Max open trades : 10
========================================================================= STRATEGY SUMMARY ========================================================================
|   Strategy |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |             Drawdown |
|------------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------+----------------------|
|     abbas8 |     11833 |           0.43 |        5087.56 |          5084.341 |         503.40 |        2:29:00 |  8541  1529  1763  72.2 | 292.699 USDT  10.74% |
===================================================================================================================================================================
