Result for strategy abbas8
============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|--------------+-----------+----------------+----------------+-------------------+----------------+-----------------+-------------------------|
|     RIF/USDT |        95 |           1.04 |          99.07 |            99.122 |           9.81 |         1:02:00 |    80     5    10  84.2 |
|    IRIS/USDT |        67 |           1.43 |          95.50 |            95.597 |           9.47 |         0:59:00 |    58     5     4  86.6 |
|     TRU/USDT |        52 |           1.54 |          80.32 |            80.364 |           7.96 |         2:06:00 |    43     5     4  82.7 |
|    AKRO/USDT |        59 |           1.32 |          77.59 |            77.662 |           7.69 |         1:15:00 |    49     6     4  83.1 |
|     MDT/USDT |        69 |           0.97 |          67.13 |            67.195 |           6.65 |         1:40:00 |    57     4     8  82.6 |
|     OAX/USDT |        34 |           1.97 |          67.06 |            67.027 |           6.64 |         1:52:00 |    30     3     1  88.2 |
|     KMD/USDT |        38 |           1.67 |          63.51 |            63.464 |           6.28 |         1:20:00 |    34     3     1  89.5 |
|     ACA/USDT |        42 |           1.45 |          61.08 |            61.144 |           6.05 |         1:25:00 |    35     4     3  83.3 |
|      DF/USDT |        32 |           1.80 |          57.65 |            57.690 |           5.71 |         1:02:00 |    30     1     1  93.8 |
|    RNDR/USDT |        42 |           1.23 |          51.52 |            51.571 |           5.11 |         1:43:00 |    33     7     2  78.6 |
|    HIGH/USDT |        49 |           1.05 |          51.21 |            51.260 |           5.08 |         1:45:00 |    38     6     5  77.6 |
|    TROY/USDT |        34 |           1.42 |          48.44 |            48.484 |           4.80 |         0:56:00 |    29     3     2  85.3 |
|    AGLD/USDT |        42 |           1.15 |          48.27 |            48.277 |           4.78 |         1:20:00 |    33     3     6  78.6 |
|    IDEX/USDT |        37 |           1.30 |          48.04 |            48.088 |           4.76 |         1:55:00 |    32     3     2  86.5 |
|     FIS/USDT |        43 |           1.10 |          47.42 |            47.357 |           4.69 |         2:11:00 |    33     7     3  76.7 |
|     XVG/USDT |        50 |           0.90 |          45.00 |            45.044 |           4.46 |         0:59:00 |    43     1     6  86.0 |
|    PERL/USDT |        58 |           0.75 |          43.75 |            43.795 |           4.34 |         1:48:00 |    44     7     7  75.9 |
|     APT/USDT |        23 |           1.90 |          43.70 |            43.723 |           4.33 |         2:08:00 |    19     4     0   100 |
|     CFX/USDT |        85 |           0.51 |          43.57 |            43.603 |           4.32 |         1:51:00 |    63    10    12  74.1 |
|     FET/USDT |        48 |           0.86 |          41.32 |            41.306 |           4.09 |         1:29:00 |    39     4     5  81.2 |
|      OG/USDT |        65 |           0.63 |          40.70 |            40.632 |           4.02 |         1:47:00 |    51     5     9  78.5 |
|     ACH/USDT |        45 |           0.89 |          39.87 |            39.901 |           3.95 |         2:02:00 |    37     3     5  82.2 |
|    BOND/USDT |        33 |           1.19 |          39.25 |            39.281 |           3.89 |         1:05:00 |    27     3     3  81.8 |
|    HOOK/USDT |        39 |           0.99 |          38.79 |            38.762 |           3.84 |         2:08:00 |    31     5     3  79.5 |
|     STX/USDT |        44 |           0.87 |          38.41 |            38.434 |           3.81 |         2:19:00 |    32     8     4  72.7 |
|     OXT/USDT |        32 |           1.18 |          37.91 |            37.941 |           3.76 |         1:53:00 |    24     6     2  75.0 |
|     WRX/USDT |        22 |           1.68 |          36.87 |            36.903 |           3.65 |         2:27:00 |    19     1     2  86.4 |
|     CKB/USDT |        34 |           1.05 |          35.80 |            35.834 |           3.55 |         4:12:00 |    25     5     4  73.5 |
|     PNT/USDT |        39 |           0.92 |          35.78 |            35.785 |           3.54 |         1:37:00 |    31     3     5  79.5 |
|   MAGIC/USDT |        36 |           0.99 |          35.60 |            35.622 |           3.53 |         1:28:00 |    29     4     3  80.6 |
|     FUN/USDT |        27 |           1.29 |          34.75 |            34.780 |           3.44 |         1:16:00 |    23     2     2  85.2 |
|   CHESS/USDT |        26 |           1.33 |          34.60 |            34.627 |           3.43 |         0:54:00 |    23     1     2  88.5 |
|     WAN/USDT |        19 |           1.74 |          33.14 |            33.132 |           3.28 |         5:08:00 |    15     4     0   100 |
|    PEPE/USDT |        45 |           0.71 |          31.73 |            31.757 |           3.14 |         1:49:00 |    34     4     7  75.6 |
|     BTS/USDT |        33 |           0.95 |          31.25 |            31.277 |           3.10 |         2:06:00 |    24     5     4  72.7 |
|    PROS/USDT |        13 |           2.30 |          29.95 |            29.919 |           2.96 |         0:21:00 |    13     0     0   100 |
|    DODO/USDT |        29 |           0.97 |          28.22 |            28.242 |           2.80 |         1:21:00 |    23     4     2  79.3 |
|     INJ/USDT |        31 |           0.90 |          28.04 |            27.986 |           2.77 |         2:36:00 |    25     3     3  80.6 |
|     JOE/USDT |        41 |           0.68 |          27.69 |            27.716 |           2.74 |         2:03:00 |    34     2     5  82.9 |
|     KEY/USDT |        48 |           0.57 |          27.39 |            27.417 |           2.71 |         1:35:00 |    36     6     6  75.0 |
|     MOB/USDT |        22 |           1.23 |          27.03 |            27.051 |           2.68 |         3:44:00 |    18     3     1  81.8 |
|      MC/USDT |        27 |           0.98 |          26.44 |            26.463 |           2.62 |         1:38:00 |    22     2     3  81.5 |
|   CYBER/USDT |        21 |           1.26 |          26.37 |            26.388 |           2.61 |         0:44:00 |    18     0     3  85.7 |
|     EPX/USDT |        19 |           1.37 |          26.10 |            26.122 |           2.59 |         1:45:00 |    16     1     2  84.2 |
|     TVK/USDT |        20 |           1.30 |          25.93 |            25.956 |           2.57 |         1:27:00 |    16     3     1  80.0 |
|      OP/USDT |        22 |           1.17 |          25.71 |            25.738 |           2.55 |         2:20:00 |    15     6     1  68.2 |
|    DEGO/USDT |        22 |           1.16 |          25.44 |            25.460 |           2.52 |         2:56:00 |    16     5     1  72.7 |
|     ASR/USDT |        24 |           1.06 |          25.37 |            25.344 |           2.51 |         1:11:00 |    18     3     3  75.0 |
|    FLUX/USDT |        19 |           1.33 |          25.26 |            25.286 |           2.50 |         1:10:00 |    15     3     1  78.9 |
|     ACM/USDT |        17 |           1.45 |          24.65 |            24.633 |           2.44 |         4:18:00 |    14     2     1  82.4 |
|    DYDX/USDT |        21 |           1.15 |          24.11 |            24.136 |           2.39 |         2:28:00 |    13     7     1  61.9 |
|     SYS/USDT |        20 |           1.18 |          23.68 |            23.703 |           2.35 |         1:32:00 |    16     2     2  80.0 |
|    MBOX/USDT |        13 |           1.81 |          23.47 |            23.491 |           2.33 |         5:37:00 |    11     2     0   100 |
|     SXP/USDT |        24 |           0.97 |          23.22 |            23.237 |           2.30 |         2:23:00 |    19     3     2  79.2 |
|     IMX/USDT |        19 |           1.20 |          22.86 |            22.878 |           2.27 |         3:36:00 |    11     8     0   100 |
|      QI/USDT |        13 |           1.74 |          22.58 |            22.604 |           2.24 |         1:22:00 |    11     1     1  84.6 |
|   POLYX/USDT |        13 |           1.71 |          22.24 |            22.257 |           2.20 |         6:05:00 |    10     3     0   100 |
|     CLV/USDT |        11 |           2.01 |          22.12 |            22.146 |           2.19 |         0:35:00 |    10     1     0   100 |
|   QUICK/USDT |        48 |           0.45 |          21.69 |            22.001 |           2.18 |         1:57:00 |    33     9     6  68.8 |
|     YGG/USDT |        48 |           0.45 |          21.67 |            21.692 |           2.15 |         1:45:00 |    34     7     7  70.8 |
|     ERN/USDT |        14 |           1.51 |          21.10 |            21.102 |           2.09 |         1:21:00 |    12     1     1  85.7 |
|   FORTH/USDT |        20 |           1.05 |          20.96 |            20.978 |           2.08 |         3:38:00 |    16     2     2  80.0 |
|    TOMO/USDT |        37 |           0.56 |          20.65 |            20.670 |           2.05 |         2:26:00 |    27     4     6  73.0 |
|    WING/USDT |        18 |           1.12 |          20.19 |            20.206 |           2.00 |         1:11:00 |    14     2     2  77.8 |
|    MASK/USDT |        20 |           1.00 |          20.05 |            20.038 |           1.98 |         2:41:00 |    15     3     2  75.0 |
|    AGIX/USDT |        19 |           1.02 |          19.40 |            19.382 |           1.92 |         1:35:00 |    14     4     1  73.7 |
|    API3/USDT |        20 |           0.94 |          18.70 |            18.722 |           1.85 |         1:11:00 |    17     0     3  85.0 |
|    VIDT/USDT |        11 |           1.69 |          18.63 |            18.646 |           1.85 |         1:02:00 |    10     1     0   100 |
|     GRT/USDT |        18 |           1.02 |          18.34 |            18.351 |           1.82 |         1:14:00 |    13     4     1  72.2 |
|     KDA/USDT |         8 |           2.28 |          18.21 |            18.228 |           1.80 |         0:56:00 |     8     0     0   100 |
|   AUDIO/USDT |        24 |           0.74 |          17.79 |            17.805 |           1.76 |         2:28:00 |    15     7     2  62.5 |
|     SEI/USDT |        11 |           1.61 |          17.75 |            17.762 |           1.76 |         0:49:00 |    10     0     1  90.9 |
|    CTSI/USDT |        24 |           0.73 |          17.62 |            17.606 |           1.74 |         2:12:00 |    17     4     3  70.8 |
|     ILV/USDT |         7 |           2.50 |          17.48 |            17.497 |           1.73 |         1:27:00 |     7     0     0   100 |
|     MKR/USDT |        11 |           1.57 |          17.29 |            17.301 |           1.71 |         1:40:00 |     8     3     0   100 |
|     HFT/USDT |        29 |           0.59 |          16.98 |            16.994 |           1.68 |         2:00:00 |    21     5     3  72.4 |
|    BICO/USDT |        10 |           1.69 |          16.93 |            16.944 |           1.68 |         1:29:00 |     8     2     0   100 |
|    LQTY/USDT |        34 |           0.49 |          16.65 |            16.670 |           1.65 |         1:19:00 |    26     3     5  76.5 |
|  BURGER/USDT |        11 |           1.50 |          16.45 |            16.463 |           1.63 |         1:30:00 |     9     2     0   100 |
|     ENJ/USDT |         7 |           2.32 |          16.21 |            16.223 |           1.61 |         1:41:00 |     5     2     0   100 |
|     COS/USDT |        14 |           1.16 |          16.20 |            16.214 |           1.61 |         4:38:00 |    11     2     1  78.6 |
|     UTK/USDT |        14 |           1.13 |          15.88 |            15.884 |           1.57 |         2:33:00 |    12     0     2  85.7 |
|     NEO/USDT |        15 |           1.05 |          15.69 |            15.695 |           1.55 |         2:22:00 |    13     1     1  86.7 |
|     ORN/USDT |        19 |           0.82 |          15.57 |            15.583 |           1.54 |         1:36:00 |    14     3     2  73.7 |
|     OMG/USDT |        13 |           1.17 |          15.25 |            15.257 |           1.51 |         1:23:00 |    11     1     1  84.6 |
|     AMP/USDT |        30 |           0.50 |          14.89 |            14.906 |           1.48 |         2:06:00 |    24     1     5  80.0 |
|    LUNC/USDT |         7 |           2.08 |          14.53 |            14.543 |           1.44 |         0:47:00 |     7     0     0   100 |
|   SUPER/USDT |        25 |           0.57 |          14.27 |            14.278 |           1.41 |         2:14:00 |    19     3     3  76.0 |
|     BNX/USDT |        37 |           0.37 |          13.66 |            14.230 |           1.41 |         1:28:00 |    26     6     5  70.3 |
|   FRONT/USDT |         7 |           1.99 |          13.95 |            13.960 |           1.38 |         0:10:00 |     7     0     0   100 |
|     ONE/USDT |         9 |           1.53 |          13.73 |            13.746 |           1.36 |         4:37:00 |     6     3     0   100 |
|     WLD/USDT |         5 |           2.65 |          13.26 |            13.257 |           1.31 |         0:51:00 |     5     0     0   100 |
|     ARB/USDT |         7 |           1.88 |          13.18 |            13.185 |           1.31 |         0:36:00 |     7     0     0   100 |
|    MOVR/USDT |         6 |           2.19 |          13.13 |            13.139 |           1.30 |         0:49:00 |     6     0     0   100 |
|   VOXEL/USDT |        23 |           0.55 |          12.54 |            12.555 |           1.24 |         1:57:00 |    16     4     3  69.6 |
|    BAKE/USDT |        12 |           1.03 |          12.37 |            12.381 |           1.23 |         2:10:00 |     9     2     1  75.0 |
|   SPELL/USDT |         7 |           1.73 |          12.11 |            12.125 |           1.20 |         1:26:00 |     6     1     0   100 |
|    NEAR/USDT |         6 |           2.00 |          12.02 |            12.018 |           1.19 |         0:48:00 |     6     0     0   100 |
|       T/USDT |        26 |           0.46 |          11.99 |            12.007 |           1.19 |         1:57:00 |    19     3     4  73.1 |
|     ATM/USDT |        29 |           0.41 |          11.96 |            11.962 |           1.18 |         3:35:00 |    23     1     5  79.3 |
|     XVS/USDT |        14 |           0.83 |          11.61 |            11.614 |           1.15 |         3:18:00 |     9     4     1  64.3 |
|     RAY/USDT |        42 |           0.27 |          11.45 |            11.458 |           1.13 |         2:23:00 |    29     6     7  69.0 |
|     JUV/USDT |        18 |           0.64 |          11.44 |            11.451 |           1.13 |         1:03:00 |    15     0     3  83.3 |
|    RDNT/USDT |         6 |           1.89 |          11.34 |            11.327 |           1.12 |         1:41:00 |     5     1     0   100 |
|     SYN/USDT |        13 |           0.87 |          11.27 |            11.278 |           1.12 |         2:12:00 |     9     3     1  69.2 |
|  PUNDIX/USDT |         6 |           1.88 |          11.26 |            11.272 |           1.12 |         3:07:00 |     5     1     0   100 |
|     C98/USDT |        15 |           0.74 |          11.15 |            11.158 |           1.10 |         2:34:00 |    12     1     2  80.0 |
|    COTI/USDT |         8 |           1.39 |          11.14 |            11.148 |           1.10 |         1:46:00 |     6     2     0   100 |
|     MAV/USDT |         7 |           1.53 |          10.70 |            10.690 |           1.06 |         2:02:00 |     5     2     0   100 |
|    FARM/USDT |         5 |           2.12 |          10.59 |            10.603 |           1.05 |         2:34:00 |     4     1     0   100 |
|     GNS/USDT |         8 |           1.31 |          10.49 |            10.492 |           1.04 |         1:56:00 |     6     2     0   100 |
|     SLP/USDT |        11 |           0.92 |          10.12 |            10.132 |           1.00 |         2:38:00 |     9     1     1  81.8 |
|    ALCX/USDT |        10 |           1.00 |           9.99 |            10.000 |           0.99 |         2:14:00 |     8     1     1  80.0 |
|    RARE/USDT |         9 |           1.10 |           9.89 |             9.895 |           0.98 |         1:10:00 |     7     1     1  77.8 |
|    MINA/USDT |        18 |           0.54 |           9.72 |             9.722 |           0.96 |         1:43:00 |    14     1     3  77.8 |
