Result for strategy abbas8
============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|    OOKI/USDT |        15 |           0.63 |           9.52 |             9.531 |           0.94 |         1:18:00 |    12     1     2  80.0 |
|     XLM/USDT |         8 |           1.18 |           9.43 |             9.427 |           0.93 |         2:08:00 |     5     3     0   100 |
|     CVP/USDT |        16 |           0.58 |           9.33 |             9.334 |           0.92 |         1:02:00 |    13     1     2  81.2 |
|     ETC/USDT |         7 |           1.33 |           9.32 |             9.324 |           0.92 |         2:03:00 |     6     1     0   100 |
|     QKC/USDT |         9 |           1.02 |           9.20 |             9.208 |           0.91 |         0:50:00 |     8     0     1  88.9 |
|     CRV/USDT |        14 |           0.66 |           9.19 |             9.191 |           0.91 |         5:10:00 |    10     2     2  71.4 |
|     ICX/USDT |        17 |           0.54 |           9.16 |             9.163 |           0.91 |         2:59:00 |     9     7     1  52.9 |
|   FLOKI/USDT |         5 |           1.76 |           8.81 |             8.815 |           0.87 |         1:30:00 |     4     1     0   100 |
|      SC/USDT |        14 |           0.61 |           8.57 |             8.576 |           0.85 |         1:27:00 |    11     1     2  78.6 |
|     FIL/USDT |        12 |           0.69 |           8.33 |             8.331 |           0.82 |         2:33:00 |     8     3     1  66.7 |
|   OCEAN/USDT |        15 |           0.54 |           8.11 |             8.107 |           0.80 |         3:43:00 |     8     6     1  53.3 |
|    QTUM/USDT |        11 |           0.72 |           7.88 |             7.879 |           0.78 |         2:03:00 |     8     2     1  72.7 |
|    ARPA/USDT |        32 |           0.24 |           7.73 |             7.736 |           0.77 |         2:09:00 |    23     4     5  71.9 |
|     FTM/USDT |        12 |           0.63 |           7.62 |             7.639 |           0.76 |         2:56:00 |     7     4     1  58.3 |
|     ZEN/USDT |         9 |           0.84 |           7.56 |             7.568 |           0.75 |         2:40:00 |     7     1     1  77.8 |
|     TLM/USDT |         7 |           1.08 |           7.54 |             7.547 |           0.75 |         2:19:00 |     6     1     0   100 |
|     UMA/USDT |        15 |           0.49 |           7.41 |             7.409 |           0.73 |         2:23:00 |    11     2     2  73.3 |
|   PORTO/USDT |        11 |           0.67 |           7.37 |             7.376 |           0.73 |         2:05:00 |     7     2     2  63.6 |
|  ALPACA/USDT |        11 |           0.67 |           7.34 |             7.346 |           0.73 |         1:15:00 |     8     1     2  72.7 |
|    STMX/USDT |        38 |           0.19 |           7.34 |             7.344 |           0.73 |         2:49:00 |    28     3     7  73.7 |
|     RPL/USDT |        14 |           0.52 |           7.28 |             7.280 |           0.72 |         4:52:00 |    11     1     2  78.6 |
|     GMT/USDT |        16 |           0.45 |           7.16 |             7.161 |           0.71 |         2:22:00 |    10     4     2  62.5 |
|     DGB/USDT |         3 |           2.36 |           7.08 |             7.084 |           0.70 |         0:41:00 |     3     0     0   100 |
|   LAZIO/USDT |         9 |           0.72 |           6.47 |             6.480 |           0.64 |         1:02:00 |     8     0     1  88.9 |
|     ADA/USDT |         4 |           1.62 |           6.47 |             6.479 |           0.64 |         2:00:00 |     4     0     0   100 |
|    ASTR/USDT |        16 |           0.40 |           6.41 |             6.420 |           0.64 |         3:11:00 |    11     2     3  68.8 |
|     ONT/USDT |        10 |           0.64 |           6.37 |             6.376 |           0.63 |         5:19:00 |     7     2     1  70.0 |
|   MULTI/USDT |        36 |           0.16 |           5.80 |             5.805 |           0.57 |         3:36:00 |    23     7     6  63.9 |
|     REI/USDT |        25 |           0.23 |           5.78 |             5.782 |           0.57 |         2:30:00 |    18     3     4  72.0 |
|     ZEC/USDT |         3 |           1.89 |           5.66 |             5.662 |           0.56 |         1:47:00 |     3     0     0   100 |
|    DATA/USDT |        17 |           0.33 |           5.57 |             5.575 |           0.55 |         2:22:00 |    13     1     3  76.5 |
|    FIRO/USDT |        15 |           0.37 |           5.54 |             5.543 |           0.55 |         2:28:00 |    12     0     3  80.0 |
|     GMX/USDT |         5 |           1.11 |           5.53 |             5.538 |           0.55 |         1:41:00 |     4     1     0   100 |
|     SUI/USDT |         4 |           1.38 |           5.53 |             5.532 |           0.55 |         3:30:00 |     3     1     0   100 |
|    ROSE/USDT |         5 |           1.07 |           5.37 |             5.375 |           0.53 |         2:12:00 |     3     2     0   100 |
|    DOCK/USDT |         9 |           0.59 |           5.35 |             5.354 |           0.53 |         1:58:00 |     7     1     1  77.8 |
|    ARDR/USDT |         9 |           0.59 |           5.34 |             5.347 |           0.53 |         2:12:00 |     6     1     2  66.7 |
|    ALGO/USDT |         3 |           1.78 |           5.33 |             5.331 |           0.53 |         1:09:00 |     3     0     0   100 |
|    DASH/USDT |         2 |           2.64 |           5.27 |             5.278 |           0.52 |         0:22:00 |     2     0     0   100 |
|      AR/USDT |         4 |           1.32 |           5.27 |             5.277 |           0.52 |         2:20:00 |     3     1     0   100 |
|     LPT/USDT |        28 |           0.19 |           5.25 |             5.267 |           0.52 |         2:43:00 |    20     3     5  71.4 |
|     TWT/USDT |         4 |           1.31 |           5.23 |             5.197 |           0.51 |         2:53:00 |     2     2     0   100 |
|   MATIC/USDT |         4 |           1.29 |           5.15 |             5.158 |           0.51 |         1:23:00 |     3     1     0   100 |
|     AVA/USDT |         3 |           1.70 |           5.10 |             5.102 |           0.51 |         1:33:00 |     3     0     0   100 |
|     LTC/USDT |         4 |           1.25 |           4.98 |             4.983 |           0.49 |         4:30:00 |     3     1     0   100 |
|     BCH/USDT |        10 |           0.47 |           4.71 |             4.705 |           0.47 |         4:17:00 |     7     2     1  70.0 |
|  SANTOS/USDT |        15 |           0.31 |           4.62 |             4.623 |           0.46 |         1:55:00 |    10     3     2  66.7 |
|    HIFI/USDT |        31 |           0.14 |           4.40 |             4.408 |           0.44 |         1:37:00 |    25     0     6  80.6 |
|     GLM/USDT |         6 |           0.73 |           4.40 |             4.401 |           0.44 |         1:15:00 |     5     0     1  83.3 |
|     SFP/USDT |        10 |           0.44 |           4.40 |             4.391 |           0.43 |         2:16:00 |     6     3     1  60.0 |
|     QNT/USDT |         2 |           2.11 |           4.22 |             4.220 |           0.42 |         0:48:00 |     2     0     0   100 |
|    SHIB/USDT |         5 |           0.84 |           4.20 |             4.205 |           0.42 |         2:56:00 |     3     2     0   100 |
|    AVAX/USDT |         4 |           1.04 |           4.17 |             4.173 |           0.41 |         8:38:00 |     2     2     0   100 |
|    NEXO/USDT |         2 |           2.08 |           4.17 |             4.173 |           0.41 |         2:15:00 |     2     0     0   100 |
|    MANA/USDT |         9 |           0.45 |           4.04 |             4.066 |           0.40 |         4:13:00 |     6     2     1  66.7 |
|   ALICE/USDT |         3 |           1.34 |           4.01 |             4.010 |           0.40 |         4:07:00 |     2     1     0   100 |
|      ID/USDT |        18 |           0.22 |           4.02 |             3.996 |           0.40 |         1:46:00 |    13     2     3  72.2 |
|    POND/USDT |        14 |           0.28 |           3.95 |             3.958 |           0.39 |         2:25:00 |     9     3     2  64.3 |
|    WNXM/USDT |         8 |           0.49 |           3.91 |             3.923 |           0.39 |         6:46:00 |     6     1     1  75.0 |
|    VTHO/USDT |         8 |           0.48 |           3.82 |             3.828 |           0.38 |         7:44:00 |     5     2     1  62.5 |
|    LINK/USDT |         2 |           1.89 |           3.79 |             3.787 |           0.37 |         1:05:00 |     2     0     0   100 |
|    VITE/USDT |         3 |           1.25 |           3.76 |             3.762 |           0.37 |         1:24:00 |     2     1     0   100 |
|     PHA/USDT |        13 |           0.28 |           3.70 |             3.711 |           0.37 |         3:36:00 |     9     2     2  69.2 |
|     XNO/USDT |         9 |           0.41 |           3.66 |             3.663 |           0.36 |         3:26:00 |     6     1     2  66.7 |
|    GLMR/USDT |         2 |           1.81 |           3.62 |             3.626 |           0.36 |         0:40:00 |     2     0     0   100 |
|   JASMY/USDT |        13 |           0.27 |           3.52 |             3.521 |           0.35 |         8:35:00 |     6     6     1  46.2 |
|   COMBO/USDT |         2 |           1.67 |           3.33 |             3.336 |           0.33 |         0:00:00 |     2     0     0   100 |
|    DOGE/USDT |         3 |           1.10 |           3.29 |             3.292 |           0.33 |         2:31:00 |     2     1     0   100 |
|     CHZ/USDT |         4 |           0.81 |           3.22 |             3.223 |           0.32 |  1 day, 0:49:00 |     2     2     0   100 |
|   STORJ/USDT |        16 |           0.20 |           3.19 |             3.184 |           0.32 |         3:59:00 |    11     2     3  68.8 |
|     TKO/USDT |         7 |           0.44 |           3.09 |             3.090 |           0.31 |         1:15:00 |     5     1     1  71.4 |
|     STG/USDT |        27 |           0.10 |           2.81 |             2.816 |           0.28 |         3:53:00 |    17     5     5  63.0 |
|    BTTC/USDT |         1 |           2.65 |           2.65 |             2.654 |           0.26 |         0:02:00 |     1     0     0   100 |
|    FLOW/USDT |         9 |           0.29 |           2.64 |             2.644 |           0.26 |         4:09:00 |     7     1     1  77.8 |
|     DIA/USDT |         5 |           0.49 |           2.46 |             2.465 |           0.24 |         3:19:00 |     4     0     1  80.0 |
|    REEF/USDT |         2 |           1.22 |           2.44 |             2.442 |           0.24 |        14:32:00 |     1     1     0   100 |
|    IOTA/USDT |         1 |           2.38 |           2.38 |             2.380 |           0.24 |         0:01:00 |     1     0     0   100 |
|    RUNE/USDT |         1 |           2.12 |           2.12 |             2.120 |           0.21 |         2:46:00 |     1     0     0   100 |
|     ANT/USDT |         3 |           0.68 |           2.05 |             2.042 |           0.20 |         7:15:00 |     1     2     0   100 |
|    FIDA/USDT |        18 |           0.11 |           2.04 |             2.039 |           0.20 |         1:34:00 |    14     1     3  77.8 |
|    NULS/USDT |         8 |           0.25 |           2.03 |             2.027 |           0.20 |         2:35:00 |     4     3     1  50.0 |
|     YFI/USDT |         2 |           0.98 |           1.95 |             1.952 |           0.19 |         1:40:00 |     2     0     0   100 |
|    BIFI/USDT |         2 |           0.95 |           1.89 |             1.896 |           0.19 |        19:30:00 |     1     1     0   100 |
|     BTC/USDT |         1 |           1.86 |           1.86 |             1.856 |           0.18 |         1:27:00 |     1     0     0   100 |
|    WAXP/USDT |         9 |           0.21 |           1.85 |             1.850 |           0.18 |         3:06:00 |     5     3     1  55.6 |
|     BAR/USDT |        10 |           0.18 |           1.80 |             1.803 |           0.18 |         3:59:00 |     7     1     2  70.0 |
| BTCDOWN/USDT |         2 |           0.89 |           1.79 |             1.789 |           0.18 |        12:32:00 |     1     1     0   100 |
|    CAKE/USDT |         1 |           1.76 |           1.76 |             1.762 |           0.17 |         0:22:00 |     1     0     0   100 |
|     VET/USDT |         1 |           1.76 |           1.76 |             1.759 |           0.17 |         0:04:00 |     1     0     0   100 |
|    ATOM/USDT |         1 |           1.76 |           1.76 |             1.756 |           0.17 |         0:42:00 |     1     0     0   100 |
|   ETHUP/USDT |         1 |           1.51 |           1.51 |             1.508 |           0.15 |         0:00:00 |     1     0     0   100 |
|   BTCUP/USDT |         1 |           1.51 |           1.51 |             1.508 |           0.15 |         0:00:00 |     1     0     0   100 |
|     EOS/USDT |         2 |           0.75 |           1.51 |             1.508 |           0.15 |         3:12:00 |     1     1     0   100 |
|     WOO/USDT |        11 |           0.14 |           1.49 |             1.495 |           0.15 |         4:18:00 |     5     5     1  45.5 |
|     CHR/USDT |         6 |           0.25 |           1.49 |             1.492 |           0.15 |         1:02:00 |     4     1     1  66.7 |
|    CTXC/USDT |        25 |           0.06 |           1.45 |             1.448 |           0.14 |         1:51:00 |    16     5     4  64.0 |
|     REN/USDT |        19 |           0.07 |           1.31 |             1.317 |           0.13 |         3:36:00 |    14     1     4  73.7 |
|     TRB/USDT |         8 |           0.16 |           1.26 |             1.278 |           0.13 |         4:54:00 |     4     3     1  50.0 |
|     NMR/USDT |        16 |           0.07 |           1.18 |             1.193 |           0.12 |         2:29:00 |    11     2     3  68.8 |
|     TRX/USDT |         6 |           0.17 |           1.04 |             1.045 |           0.10 |         8:54:00 |     4     1     1  66.7 |
|    HBAR/USDT |         8 |           0.10 |           0.82 |             0.820 |           0.08 |         7:48:00 |     4     3     1  50.0 |
|     MLN/USDT |         9 |           0.09 |           0.80 |             0.800 |           0.08 |         1:16:00 |     7     0     2  77.8 |
|     SUN/USDT |         5 |           0.11 |           0.55 |             0.550 |           0.05 |         4:15:00 |     3     1     1  60.0 |
|    SAND/USDT |         9 |           0.05 |           0.43 |             0.425 |           0.04 |         5:05:00 |     6     2     1  66.7 |
|     ICP/USDT |         4 |           0.07 |           0.27 |             0.269 |           0.03 |         6:48:00 |     1     3     0   100 |
|      OM/USDT |        17 |           0.02 |           0.27 |             0.264 |           0.03 |         2:14:00 |    13     0     4  76.5 |
|     ETH/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     BNB/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    TUSD/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    USDC/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     XMR/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    BUSD/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    IOTX/USDT |         1 |           0.00 |           0.00 |             0.000 |           0.00 |        22:19:00 |     0     1     0     0 |
|     EUR/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
| ETHDOWN/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     GBP/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
| BNBDOWN/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     BAL/USDT |         1 |           0.00 |           0.00 |             0.000 |           0.00 |        13:45:00 |     0     1     0     0 |
|     DOT/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
